경찰서,주소,인원증감,증감율
부천오정,경기도 부천시 오정구 소사로 631 (여월동),5,1.5198
광명,경기도 광명시 디지털로 5 (철산동),15,3.1447
안산단원,경기도 안산시 단원구 화랑로 373 (고잔동),9,1.2363
안산상록,경기도 안산시 상록구 차돌배기로 10 (사동),9,1.5707
시흥,경기도 시흥시 황고개로 513 (장곡동),14,1.8996
평택,경기도 평택시 중앙로 67 (비전동),20,2.4907
화성서부,경기도 화성시 남양읍 남양로 570,13,2.968
용인동부,경기도 용인시 처인구 금학로 143 (삼가동),18,2.7231
용인서부,경기도 용인시 기흥구 용구대로2469번길 32 (보정동),14,3.9326
광주,경기도 광주시 포돌이로 135 (탄벌동),10,2.3256
김포,경기도 김포시 태장로795번길 65 (장기동),19,3.8776
과천,경기도 과천시 통영로 20 (중앙동),6,3.3149
의왕,경기도 의왕시 오봉로 10 (고천동),12,5.4299
하남,경기도 하남시 검단로 27 (하산곡동),19,7.3359
이천,경기도 이천시 부악로 32 (중리동),17,4.7486
안성,경기도 안성시 알미산로 140 (도기동),10,3.0488
여주,경기도 여주시 세종로 50 (창동),8,3.0189
양평,경기도 양평군 옥천면 고읍로 88 (옥천리),13,5.0584
의정부,경기도 의정부시 호국로 1265 (의정부동),25,3.3921
고양,경기도 고양시 덕양구 화중로 12 (화정동),22,4.2065
일산동부,경기도 고양시 일산동구 중앙로 1338 (정발산동),8,1.6913
일산서부,경기도 고양시 일산서구 중앙로 1640 (대화동),10,2.8011
남양주,경기도 남양주시 경춘로 532 (지금동),21,2.9207
파주,경기도 파주시 쇠재로 140 (금릉동),18,3.1972
양주,경기도 양주시 평화로 1699 (회정동),19,6.2092
동두천,경기도 동두천시 상패로 89 (상패동),10,4.6512
구리,경기도 구리시 아차산로 359 (교문동),14,3.9437
포천,경기도 포천시 군내면 호국로 1570,19,5.3824
가평,경기도 가평군 가평읍 가화로 61,12,6.25
연천,경기도 연천군 연천읍 연천로 239,11,6.8323
춘천,강원도 춘천시 춘천로 61 (효자동),11,2.3404
강릉,강원도 강릉시 강릉대로 377 (포남동),7,1.7456
원주,강원도 원주시 봉산로 1 (봉산동),14,2.5225
동해,강원도 동해시 천곡로 107 (천곡동),4,1.7937
태백,강원도 태백시 장성로 26 (장성동),1,0.6623
속초,강원도 속초시 도리원길 93 (노학동),4,1.3699
삼척,강원도 삼척시 정상로 53 (정상동),4,1.8519
영월,강원도 영월군 영월읍 단종로 9,4,2.8777
정선,강원도 정선군 정선읍 비봉로 31,4,2.5157
홍천,강원도 홍천군 홍천읍 홍천로 651,4,2.1164
평창,강원도 평창군 평창읍 군청길 55,1,0.7246
횡성,강원도 횡성군 횡성읍 어사매로 78,1,0.7463
고성,강원도 고성군 간성읍 탑동길 12,3,1.9231
인제,강원도 인제군 인제읍 인제로209번길 9,3,2.5
철원,강원도 철원군 갈말읍 삼부연로 35,3,2.4
화천,강원도 화천군 화천읍 화천새싹길 33,1,0.9615
양구,강원도 양구군 양구읍 양남로 1,3,2.9703
청주흥덕,충청북도 청주시 흥덕구 월명로236번길 15 (봉명동),23,4.6653
청주상당,충청북도 청주시 상당구 목련로 266 (운동동),10,2.8571
청주청원,충청북도 청주시 청원구 향군로 60 (우암동),8,2.122
충주,충청북도 충주시 예성로 218 (교현동),7,2.0349
제천,충청북도 제천시 용두대로 27 (하소동),3,1.1494
영동,충청북도 영동군 영동읍 영산로 32,1,0.6711
괴산,충청북도 괴산군 괴산읍 읍내로11길 26,1,0.6024
단양,충청북도 단양군 단양읍 중앙1로 3,2,1.8182
보은,충청북도 보은군 보은읍 장신로 8,0,0.0
옥천,충청북도 옥천군 옥천읍 중앙로 20,2,1.4599
음성,충청북도 음성군 음성읍 중앙로 26,7,3.271
진천,충청북도 진천군 진천읍 중앙동로 68,6,3.7736
